"date","open","high","low","close"
"2023-02-13","131.43","132.90","131.16","132.40"
"2023-02-15","133.16","134.36","132.55","134.17"
"2023-02-16","134.14","134.50","133.61","133.94"
"2023-02-17","133.94","135.13","133.94","134.10"
"2023-02-20","134.10","134.53","133.93","134.25"
"2023-02-21","134.29","135.23","134.16","135.02"
"2023-02-22","135.01","135.06","134.38","134.93"
"2023-02-27","136.47","136.52","135.93","136.23"
"2023-03-07","135.93","137.19","135.56","137.15"
"2023-03-06","135.98","136.19","135.38","135.92"
"2023-03-03","136.77","136.79","135.75","135.85"
"2023-03-08","137.15","137.91","136.49","137.35"
"2023-02-24","134.69","136.51","134.06","136.46"
"2023-03-10","136.40","136.98","134.17","136.40"
"2023-03-09","137.2260","137.2520","135.9900","137.2260"
"2023-03-14","133.2030","133.3560","133.0300","133.0800"
"2023-03-13","134.9700","135.0200","132.2930","134.9800"
"2023-03-02","136.1940","137.0650","136.0880","136.1940"
"2023-03-01","136.3480","136.4620","135.2600","136.3480"
"2023-02-28","136.3170","136.9090","136.0220","136.3170"
"2023-02-23","134.9320","135.3430","134.6440","134.9320"
"2023-03-16","133.3480","133.4930","132.4700","132.8900"
"2023-03-17","133.3680","133.5660","131.8370","133.3680"
"2023-03-20","132.4750","132.6500","131.6230","131.9270"
"2023-03-22","132.4570","132.7740","132.2200","132.4010"
"2023-03-24","130.8650","130.9190","129.6740","130.8650"
"2023-03-25","130.6700","130.6700","130.6700","130.6700"
"2023-03-27","130.6700","131.0550","130.3570","130.8000"
"2023-03-28","131.5340","131.5640","130.4800","130.6590"
"2023-03-29","130.8630","131.8230","130.7300","131.7700"
"2023-03-30","132.7700","132.8090","132.3600","132.4470"
"2023-03-31","132.6790","133.5940","132.5700","132.7970"
"2023-04-05","131.6880","131.8440","131.2980","131.6240"
"2023-04-07","131.6980","132.3790","131.5000","132.1370"
"2023-04-10","132.0860","132.8000","131.8200","132.6340"
"2023-04-13","133.1110","133.3130","132.9370","133.2820"
"2023-04-16","133.7450","133.7450","133.7450","133.7450"
"2023-04-17","133.7450","134.2170","133.7070","134.0200"
"2023-04-20","134.6000","134.9750","134.5910","134.7730"
"2023-04-21","134.2240","134.4910","133.5460","134.0960"
"2023-04-25","134.1650","134.4160","133.9620","134.2020"
